tweet_id,content,author
Sat Feb 24 13:09:56 +0000 2024,"@gen_gibran Sudah gak sabaran banget untuk merayakan kemenangan prabowogibran, gaspoll ðŸ”¥ðŸ”¥",Jeniferrse
Sat Feb 24 13:08:09 +0000 2024,@ivancahyadi88 @H4T14K4LN4L42 @jokowi @psi_id @prabowo @gibran_tweet wkwk hasilnya udah keluar?,Agent_Sergents
Sat Feb 24 13:07:58 +0000 2024,@HendroSP02 @prabowo @gibran_tweet Hahahaha lucu2 kucinge,NyaiiBubu
Sat Feb 24 13:05:49 +0000 2024,"Gibran dan keblunderannya. Bisabisanya nenteng cup starbucks sesantai ituðŸ˜­.  Lg dimusim begini makin abis deh pasangan pragib digoreng masaðŸ˜­ setelah keblunderan prabowo, datanglah gibran. Alamakk yaudahlah",monkeydluffys5
Sat Feb 24 13:04:18 +0000 2024,AHY sebut hilirisasi warisan SBY Prabowo-Gibran diminta perkuat lagi agromaritim.. wgv  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/TbUoUjLLd3,arkan4735857333
Sat Feb 24 13:04:06 +0000 2024,Prabowo-Gibran membuka peluang untuk pembentukan kementerian koordinator baru yang khusus mengurus program makan siang dan susu gratis.  Download #MetroTVXtend sekarang di Play Store dan App Store.  #prabowosubianto #gibranrakabumingraka #makansianggratis https://t.co/YnqPbsfATI,Metro_TV
Sat Feb 24 13:04:03 +0000 2024,"@panjol_03 @__AnakKolong @PDI_Perjuangan Betul. Itu negara hutang atas perintah Mega. Jokowi itu gak bisa apa-apa, gak bisa mimpin negara. Selama 9 thn ini Jokowi hanya ikut perintah Mega. Bahkan Gibran jg ditunjuk Mega untuk dampingi Prabowo. Dan Mega pe",Fr4nst
Sat Feb 24 13:03:37 +0000 2024,"Terbukti menangkan pilpres 2 kali, pengamat nilai peran Demokrat menangkan Prabowo-Gibran sangat vital.. elg  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/96JdhAdmcC",arkan4735857333
Sat Feb 24 13:03:31 +0000 2024,"All out menangkan Prabowoâ€“Gibran, AHY: Kita wujudkan kesejahteraan rakyat.. olv  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/hlgV6HDIom",arkan4735857333
Sat Feb 24 13:02:58 +0000 2024,@kompascom Menyambut kemenangan Prabowo-Gibran: https://t.co/0ZZrKCmgwV,rahayu_sandera
Sat Feb 24 13:02:28 +0000 2024,@BosPurwa Semoga pak prabowo @prabowo  dan mas   @gibran_tweet  setelah memerintah jangan mau kerjasama pak brewok,DosaSeabrek
Sat Feb 24 13:02:12 +0000 2024,@capymawa pendukung prabowo gibran,mediterariaa_
Sat Feb 24 13:02:00 +0000 2024,@LingkaranHidup @H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Yang haus kekuasaan siapa yang ngotot siapa.. Yang curang siapa.. ðŸ˜‚ðŸ˜…ðŸ¤£ Kalau dari data ya pede lah menang. 58% RC.,a_arsa
Sat Feb 24 13:01:49 +0000 2024,AHY ajak warga Semarang menangkan Prabowo-Gibran agar Indonesia semakin maju. `_u  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/EmD8KUUpc2,arkan4735857333
Sat Feb 24 13:01:15 +0000 2024,Kucing Jadi Saksi Bisu Pertemuan Prabowo-Gibran: Hanya Laila dan Pasha yang Tahu Obrolan Kami https://t.co/CH345OUnOb,pikiran_rakyat
Sat Feb 24 13:01:09 +0000 2024,@prabowo @gibran_tweet @prabowogibran2 kirim medis lah bang kasian,wyze_tw
Sat Feb 24 13:01:08 +0000 2024,SBY dan AHY kompak ajak masyarakat Banyuwangi pilih Prabowo-Gibran. apu  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/FHcrqGO4Y9,arkan4735857333
Sat Feb 24 13:01:06 +0000 2024,"Terlihat dengan setia pak SBY, presiden ke 6 Indonesia di atas panggung bersama dengan mas AHY juga mendukung Prabowo Gibran.. gph  PDemokrat AgusYudhoyono Demokrat Peduli https://t.co/Y2CjlP05UR",arkan4735857333
Sat Feb 24 13:01:03 +0000 2024,Bapak SBY dan Mas AHY pun duduk diatas panggung ikut serta mendukung Prabowo Gibran. ojt  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/2Vng9ciRtp,arkan4735857333
Sat Feb 24 13:00:44 +0000 2024,"Gk usah kahwatir den, Prabowo-Gibran pasti dilantik jadi presiden NKRI",wonggendheng00
Sat Feb 24 13:00:40 +0000 2024,"Menutup masa kampanye, @PDemokrat hadir all out di GBK untuk merapatkan barisan menangkan Prabowo-Gibran.. ezf  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/daB7cWqjjp",arkan4735857333
Sat Feb 24 13:00:03 +0000 2024,@kacangkdele Pendukung Prabowo dan Gibran bisa tantrum baca ini,pumurhati
Sat Feb 24 12:59:00 +0000 2024,"Maman Abdurrahman: Bersatunya SBY, Jokowi dan Prabowo Bakal Bikin Indonesia Lebih Maju #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/MARjJtIOJN",golkarpedia
Sat Feb 24 12:58:59 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/oU9LXfuiY3,kila78278322174
Sat Feb 24 12:58:44 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/9xWfwsJfrH,kila78278322174
Sat Feb 24 12:58:35 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/Zt0pg9knLo,kila78278322174
Sat Feb 24 12:58:14 +0000 2024,Pemerintah Bahas Program Makan Siang Gratis Prabowo-Gibran Pekan Depan https://t.co/te91IRi2uu,Bisniscom
Sat Feb 24 12:58:00 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/B3Gkvtc7VQ,kila78278322174
Sat Feb 24 12:57:54 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/eesFHbIjMS,kila78278322174
Sat Feb 24 12:57:48 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/bskVrxE0xL,kila78278322174
Sat Feb 24 12:57:45 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/AYk4M710Cf,kila78278322174
Sat Feb 24 12:57:42 +0000 2024,@Priyo__Muhammad @KompasTV Pemilu kemaren sama seperti referendum jelas pilih prabowo gibran 58 persen sbg presiden.,Thieryaryadi
Sat Feb 24 12:57:40 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/fM9rWEKAgT,kila78278322174
Sat Feb 24 12:57:29 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/Pl0hOeZgxE,kila78278322174
Sat Feb 24 12:57:27 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/6puPUpgwjU,kila78278322174
Sat Feb 24 12:57:20 +0000 2024,AHY sebut hilirisasi warisan SBY Prabowo-Gibran diminta perkuat lagi agromaritim.. wgv  AgusYudhoyono PDemokrat Demokrat Peduli https://t.co/Vk4ozodIXo,alvin1495424
Sat Feb 24 12:57:18 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/5TTSXHNlTj,kila78278322174
Sat Feb 24 12:57:10 +0000 2024,"Viral Bocoran Kabinet EraÂ Prabowo-Gibran, Ada Erick Tohir hingga AHY, Gerindra Buka Fakta Sebenarnya https://t.co/B8SIQqHuqT",SidoarjoWarta
Sat Feb 24 12:57:02 +0000 2024,Ribuan mahasiswa demo dukung KPU dan BAWASLU hasil pemilu adalah suara rakyat  #pemiludamai #persatuan #rukun #damai #pilpres2024 #kpu #bawaslu #capres #cawapres #anisbaswedan #prabowo #ganjarpranowo #cakimin #gibran #mahfudmd #partai #hakangket #dpr #mpr #ma #mk #ky https://t.co/g1F7UAdXRk,kila78278322174
Sat Feb 24 12:56:50 +0000 2024,@bengkeldodo @prabowo @gibran_tweet Mas RI2 kelihatan capek,WiryoSuprapti
Sat Feb 24 12:56:34 +0000 2024,@SahLeoSin Sma si Aba aja selisinya  kalah jauh abis bru ngomong kalian percaya suara saya se gitu? Dasa pngikut sma yg d ikut arogan ðŸ˜‚ kemenagan ini milik prabowo Gibran kalau kalah mau nangis nangis aja tumpahkan semuanya aer mata kalain ðŸ¤­,rV230523
Sat Feb 24 12:55:30 +0000 2024,Pakar: Presiden Keluarkan Seluruh Modal Menangkan Prabowo - Gibran   #DukungHakAngket #DukungHakAngketDPR https://t.co/9QmILAkLMg,Mdy_Asmara1701
Sat Feb 24 12:54:56 +0000 2024,"@H4T14K4LN4L42 @AnisBaswedan @cakimiNOW @prabowo @jokowi @gibran_tweet @ganjarpranowo @mohmahfudmd Katanya pendukungnya orang orang cerdas, tapi HOAXnya parah, perlu belajar berhitung lagi.",Pejabudi
